gender,address,department,job_titles,manager_id,hire_date,salary,employment_status,employee_type,education_level,certifications,skills,performance_ratings,work_experience,benefits_enrollment,city,work_hours,employee_status,emergency_contacts,rounded_salary,rounded_salary_5000,phone_number_masked,email_masked,name_hash,employee_id_hash,age_group
Male,PW,Finance,Administrator,10,2023-04-06,77367,Part-time,Regular,Master's Degree,team,"senior, kitchen, president, call, station",3,Receive determine pass find. Authority laugh raise firm instead task when.,"data, cell, people",Hollandberg,9-5,Active,1a8880eeae59b3404b2686ca7d704111a285835ee8184f60776f798223ac447c,70000,77000,XXX-XXX-6180,hidden_example.net,6a1b015a47088917ec497ef51b5016d924e17734798e384d4a041042f94fea10,d37eb50d868361ea729bb4147eb3c1d8,50.0
Non-Binary,DE,Finance,Mental health nurse,8,2022-05-26,81869,Full-time,Temporary,PhD,"whether, some, measure","perhaps, knowledge, officer",4,Prevent meet bill computer upon keep receive. Strong again more teach magazine.,"appear, discover",East Sabrinafurt,9-5,Active,615099388f299dad3fc32beb42b544d979f3fceb58e7c36a6d55f36d914dfedb,80000,81000,XXX-XXX-0484,hidden_example.com,9ba09996bc6c867c9547e28a65bf9fc7c1df5949523dd4da5524acdf34e20578,b28d8e3ccb1ff9d46fa2d9e70222c9e7,30.0
Male,LA,Finance,Field seismologist,6,2020-06-11,97907,Part-time,Temporary,PhD,"job, week","tend, official, red",4,Necessary Congress real.,"stop, woman",New Garyfurt,9-5,Active,c2d93a58a8e5aec9dcd337c60bc98e9ceba8c73e40859f4842da065d306eb1a4,90000,97000,XXX-XXX-x248,hidden_example.net,47db4d0a589ed0f170885ce128009e49200131eec4ddd4a8269c4a249a11ca02,060fd70a06ead2e1079d27612b84aff4,30.0
Non-Binary,OR,Engineering,"Nurse, children's",5,2020-11-25,110034,Part-time,Regular,PhD,"position, similar","question, their, health, single, whole",2,Yard whose different trade. Free foreign question reality else.,"product, either",Christophermouth,12-8,On Leave,b698cf4a21910aff2ece23a3c3391e368d1cb50379e723dfc0d49afa4068fc2a,110000,110000,XXX-XXX-5513,hidden_example.net,78bf4d5ba2e53e63c569c42859765b78dfb6f37feacd9ad9984f6e09a5edab24,782086acbe9f48126642e093bf6ba151,20.0
Male,IN,Engineering,Meteorologist,2,2021-01-12,70091,Contractor,Contract,Bachelor's Degree,"table, seem","how, government, finally, east, strong",4,Agreement tax chair strategy bring kid assume president. Not support soon pretty positive.,"gas, commercial",South Jamestown,Night Shift,Terminated,364253bc6b8c32714e40bf566d7c11fb43be228a0d1b26004f230f7bd71f034a,70000,70000,XXX-XXX-4174,hidden_example.net,f4cae8542f2d9c20e7efbf54d3a76c2067ff0982e19858a4c720d7c93a6fc477,6f3a770e5af1fd4cadc5f004b81e1040,20.0
Female,DC,Engineering,"Scientist, forensic",10,2021-12-16,116054,Part-time,Regular,Bachelor's Degree,"sure, street","whether, cold, soon",5,Leg finally meet whether.,most,North Johnberg,9-5,Active,8fc6d4975ddefdd9346a4b82786859bfa5c38662d31bebdad1b6af228c7ff460,110000,116000,XXX-XXX-3837,hidden_example.org,7f3b3e9097686ca6611e746b5563bd2a85b27f963c1ec6d6299a81a4b78bac4f,d360a502598a4b64b936683b44a5523a,30.0
Male,KS,IT,"Programmer, multimedia",3,2023-05-06,103163,Full-time,Temporary,Bachelor's Degree,safe,"situation, set, next, imagine, partner",1,Year fly since nor. Movement heart test then away.,quickly,Johnsonfurt,12-8,On Leave,1c410306005829e214e68535cb6b285b935dd8b02cd6d4f056a924971c2c51df,100000,103000,XXX-XXX-2317,hidden_example.org,00c52992f599fa82526a1286b1415daac7822168298ca4b0b7230df48d14e1fe,6467c327eaf8940b4dd07a08c63c5e85,50.0
Male,CT,IT,Horticultural consultant,5,2023-04-27,71454,Contractor,Temporary,PhD,"quality, thing, nature","get, consider, but",5,Thus political reality generation.,"president, number, then",Chloechester,12-8,Terminated,2460c5fde6546ce1a3b21d33586fad28f34832c068c95f55572fb2c4e619f54f,70000,71000,XXX-XXX-8472,hidden_example.org,0d79c9b80787279b7440ce6986f0abc8934761e883747644ff88408c6bf93fd5,d35b05a832e2bb91f110d54e34e2da79,50.0
Male,USNV,IT,Osteopath,10,2020-09-28,55130,Full-time,Contract,High School,"campaign, choose","yes, affect, officer, class",2,Get bed local public similar create.,sea,East Megan,9-5,Active,83387ac7ba9905b0bbb465288b569d028f112903f8df073e78f162388605c1d6,50000,55000,XXX-XXX-8374,hidden_example.org,a2db04e092699614c62eeba5941734bf2f8022d5e51cf3bc0cc9ba1c2282454e,a9883e7bb20e56060778cf794125afc4,40.0
Female,KS,Marketing,Forest/woodland manager,2,2020-08-07,97658,Contractor,Temporary,High School,yard,"card, size, rise, admit, plant",3,Strong often accept stop administration system.,"game, north, open",East Marioborough,9-5,Terminated,018c801540b1a6a696ae3b81e96a31c80a586c38957de70866b8c9df9eb19bdb,90000,97000,XXX-XXX-2881,hidden_example.net,a58890465a213fd2752b77d1a0e5f5bce562b7a361505e28b0195f049974aa0a,b66dc44cd9882859d84670604ae276e6,40.0
